IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
29794,2025,Kyle Manzardo,CLE,24,1,4,5,3,0,1,1,1,2,4,1,0,1,0,0,0,0,0,0,0.75,0,1,2,0,19,8,11,0,0,0,0.2,0.2,1.0,0.8,2.25,3.05,1.5,1.0,0.0,0.667,0.0,0.33299999999999996,0.0,1.0,0.0,0.0,1.132,3.2,4,3.2,,0.1,-0.1,3.5,0.4,$3.0,4.1,667,0.59,-0.02,0.61,4.21,0.41,1.36,,0,0.38,0.05,0.368,96.6,0.316,85.2,0.158,90.7,0.053,76.0,,,0.105,88.5,,,,,1.2,2.1,0.1,0.0,,0.1,,17.38,35.12,2.97,3.84,,2.71,,0.182,0.75,0.42100000000000004,0.5,0.667,0.625,0.42100000000000004,0.6,0.158,0.2,0.316,,0.158,0.105,,0.053,0.316,0.053,,,,,,,96.2,,90.8,88.6,,96.6,85.2,76.0,,,,,,0.9,,0.4,-6.0,,10.8,-0.5,0.5,,,,,,10.2,,5.8,2.1,,3.8,1.3,-7.4,,,,,,-0.2,,0.1,0.1,,1.4,2.1,0.0,,,,,,-2.71,,2.97,2.71,,137.93,35.12,3.84,,,,,,0.182,0.75,0.42100000000000004,0.5,0.667,0.625,0.42100000000000004,20.0,-0.1,0.0,,24 - 24,3.5,0.0,,0.667,0.33299999999999996,0.0,0.0,0.0,1.0,0.6,,,0.053,0.316,0.158,0.105,,,0.053,0.316,,,,76.1,96.4,90.9,88.7,,,96.7,85.3,,,,0.7,1.3,0.2,-5.1,,,10.7,-0.4,,,,-9.5,8.9,4.2,0.3,,,2.5,-0.4,,,,0.0,-0.2,0.1,0.1,,,1.4,2.1,,,,3.84,-2.71,2.97,2.71,,,137.93,35.12,,0.111,0.7,0.42100000000000004,0.0,0.7140000000000001,0.625,0.526,20.0,,326,213,86,262,567,899,378.0,3.99,0.0,83.0,700.0,153.0,101.0,0.0,0.0,0.0,255.0,98.6,23.1,1,0.33299999999999996,106.4,2,0.667,3,0.158,0.316,0.367,0.933,0.574,0.3
23772,2025,Wilyer Abreu,BOS,26,2,6,8,5,3,0,0,2,3,5,2,0,0,0,0,0,0,0,0,0.833,2,3,1,0,34,15,19,0,0,0,0.25,0.0,2.0,0.875,1.833,2.708,1.0,0.75,0.0067,0.16699999999999998,0.33299999999999996,0.5,0.0,0.667,0.0,0.0,1.027,4.5,5,4.5,-0.6,0.2,-0.1,4.1,0.4,$3.5,0.8,588,0.66,-0.02,0.68,5.16,0.54,1.77,,0,0.37,0.01,0.45799999999999996,94.8,0.125,87.3,0.083,91.0,0.083,77.5,0.16699999999999998,89.8,0.083,88.0,,,0.294,,1.7,1.4,0.0,0.1,0.3,0.4,,15.31,46.27,-2.17,4.06,7.0,21.03,,0.154,0.909,0.5,0.5,0.9,0.833,0.45799999999999996,0.5,0.08800000000000001,0.1,0.353,,0.059000000000000004,0.059000000000000004,,0.20600000000000002,0.08800000000000001,0.08800000000000001,,,0.147,,,,94.8,,91.0,87.7,,96.5,87.3,80.1,,,89.9,,,0.7,,-0.4,-7.3,,-8.9,-1.3,2.7,,,-1.3,,,8.9,,6.6,-0.6,,8.3,-1.4,-6.1,,,0.8,,,1.7,,0.0,0.4,,0.5,1.4,0.1,,,0.3,,,14.37,,-2.17,21.03,,7.75,46.27,4.23,,,6.46,,,0.077,0.762,0.5,0.0,0.875,0.8240000000000001,0.618,22.4,-0.7,-0.1,,26 - 26,4.5,0.0,,0.833,0.16699999999999998,0.0,0.0,0.33299999999999996,0.667,0.5,0.147,,0.08800000000000001,0.353,0.059000000000000004,0.059000000000000004,,,0.20600000000000002,0.08800000000000001,,90.0,,80.2,95.0,91.2,87.8,,,96.7,87.5,,-1.4,,3.8,0.6,0.3,-6.7,,,-8.3,-1.4,,-1.0,,-8.2,7.6,5.2,-2.0,,,7.4,-3.3,,0.3,,0.1,1.7,0.0,0.4,,,0.5,1.4,,6.46,,4.23,14.37,-2.17,21.03,,,7.75,46.27,,0.077,0.762,0.5,0.0,0.875,0.8240000000000001,0.618,22.4,,362,267,0,287,462,599,284.0,1.0,77.0,124.0,467.0,192.0,50.0,0.0,0.0,72.0,170.0,100.6,23.1,2,0.33299999999999996,110.8,4,0.667,6,0.059000000000000004,0.147,0.624,1.417,0.82,0.4
27467,2025,Tyler Soderstrom,ATH,23,2,8,8,4,1,1,0,2,2,3,0,0,2,0,0,0,0,0,0,0.5,2,1,3,0,19,5,14,1,0,0,0.0,0.25,0.0,0.5,1.375,1.875,0.875,0.5,0.02,0.5,0.33299999999999996,0.16699999999999998,0.0,2.0,0.5,0.0,0.792,3.0,4,3.1,0.2,0.2,-0.1,3.3,0.4,$2.8,0.1,436,0.37,-0.08,0.45,2.14,0.24,0.78,,0,0.29,0.19,0.368,94.9,0.105,86.0,0.105,89.0,,,0.316,87.2,0.105,84.5,,,,,0.8,1.4,1.4,,-0.2,-0.2,,11.23,68.97,68.97,,-3.14,-10.24,,0.5,1.0,0.632,0.7140000000000001,1.0,0.833,0.263,0.875,0.105,0.0,0.158,,0.053,0.105,,0.21100000000000002,0.158,,,,0.316,,,,94.7,,89.0,84.4,,94.9,86.9,,,,87.0,,,-7.1,,1.4,-2.8,,-4.2,-0.3,,,,-10.8,,,8.1,,2.0,-0.8,,3.1,1.1,,,,0.1,,,0.0,,1.3,-0.2,,0.8,1.4,,,,-0.2,,,-1.47,,134.09,-11.46,,19.32,47.26,,,,-3.14,,,0.5,0.857,0.632,0.667,1.0,0.833,0.368,18.3,0.0,0.0,,23 - 23,3.1,0.0,,0.5,0.16699999999999998,0.33299999999999996,0.0,0.33299999999999996,0.667,0.5,0.316,,,0.158,0.105,0.105,,,0.21100000000000002,0.105,,87.4,,,95.2,89.7,85.0,,,95.3,86.3,,-10.8,,,-7.0,1.8,-3.0,,,-4.3,-1.2,,-1.4,,,7.0,1.2,-2.8,,,1.8,-0.7,,-0.2,,,0.0,1.4,-0.2,,,0.8,1.4,,-3.14,,,-1.47,68.97,-11.46,,,19.32,68.97,,0.5,0.857,0.632,0.667,1.0,0.833,0.368,18.3,,217,0,107,164,346,524,189.0,2.99,77.0,41.0,1400.0,115.0,50.0,143.0,0.0,72.0,170.0,100.2,9.9,2,0.33299999999999996,111.4,4,0.667,6,0.105,0.21100000000000002,0.43,1.186,0.668,0.4
27465,2025,Spencer Torkelson,DET,25,2,6,10,3,1,1,0,1,2,1,4,0,2,0,0,0,0,1,0,0.5,1,1,2,0,52,26,26,0,0,0,0.4,0.2,2.0,0.7,1.167,1.867,0.667,0.667,0.01,0.5,0.25,0.25,0.0,1.0,0.0,0.0,0.7,3.1,4,3.1,,0.3,-0.2,3.4,0.4,$2.9,4.5,370,0.24,-0.2,0.44,2.08,0.22,1.67,,0,0.25,-0.1,0.423,94.5,0.154,83.1,,,0.135,80.0,0.135,85.9,0.154,91.1,,,,,2.2,0.7,,0.3,0.2,-0.3,,9.97,9.33,,4.32,2.28,-3.47,,0.188,0.5,0.308,0.833,0.9,0.875,0.385,0.3,0.038,0.2,0.231,,0.038,0.115,,0.17300000000000001,0.154,0.135,,,0.154,,,,94.3,,91.2,90.8,,95.4,83.0,79.9,,,85.6,,,0.7,,1.9,-6.3,,-9.5,3.5,-3.0,,,8.1,,,10.9,,5.2,2.1,,4.7,0.4,-4.5,,,7.5,,,2.3,,-0.1,-0.2,,-0.1,0.7,0.3,,,0.2,,,19.1,,-2.92,-3.65,,-1.6,9.33,4.32,,,2.57,,,0.185,0.44,0.308,0.8,0.909,0.875,0.48100000000000004,18.8,-0.2,0.1,,25 - 25,3.3,0.0,,0.75,0.25,0.0,0.0,0.0,1.0,0.7,0.154,,0.135,0.231,0.038,0.115,,,0.17300000000000001,0.154,,86.2,,80.5,94.9,91.8,91.4,,,96.0,83.6,,7.8,,-3.3,0.7,2.7,-5.8,,,-8.9,4.4,,5.8,,-6.2,9.8,4.1,0.8,,,3.5,-1.0,,0.2,,0.3,2.3,-0.1,-0.2,,,-0.1,0.7,,2.57,,4.32,19.1,-2.92,-3.65,,,-1.6,9.33,,0.14300000000000002,0.5,0.308,0.75,0.917,0.875,0.462,18.8,,217,427,86,230,294,399,252.0,2.99,58.0,62.0,700.0,172.0,75.0,0.0,0.0,0.0,255.0,104.4,12.5,1,0.25,108.5,4,1.0,4,0.192,0.231,0.476,1.073,0.673,0.3
19755,2025,Shohei Ohtani,LAD,30,4,16,19,6,3,1,0,2,6,2,3,1,2,0,0,0,0,0,0,0.375,7,4,3,0,70,29,41,0,0,0,0.158,0.105,1.5,0.474,0.813,1.286,0.438,0.333,0.0175,0.214,0.5,0.28600000000000003,0.0,0.5,0.0,0.0,0.527,3.3,5,3.3,,0.6,-0.4,3.5,0.4,$3.0,2.6,255,0.29,-0.26,0.56,3.1,0.33,1.18,,0,0.55,-0.3,0.47100000000000003,95.5,0.22899999999999998,85.7,0.028999999999999998,89.5,0.14300000000000002,83.5,0.114,89.8,0.013999999999999999,84.0,,,0.057,,1.4,1.4,-0.1,0.2,0.3,-0.1,,4.14,8.74,-5.04,2.18,3.31,-5.44,,0.22,0.759,0.44299999999999995,0.444,0.8640000000000001,0.742,0.414,0.474,0.114,0.0,0.314,,0.028999999999999998,0.013999999999999999,,0.157,0.214,0.057,0.1,,0.114,,,,95.1,,89.6,84.4,,96.0,85.7,83.5,83.7,,89.6,,,-1.1,,-1.0,8.9,,-0.3,0.2,8.8,2.7,,-2.7,,,10.0,,7.3,6.1,,5.4,1.6,-6.3,-2.2,,3.5,,,0.5,,-0.1,-0.1,,0.9,1.4,0.3,0.0,,0.3,,,2.31,,-5.04,-5.44,,7.81,9.06,6.91,-0.28,,3.31,,,0.243,0.667,0.44299999999999995,0.444,0.8640000000000001,0.742,0.47100000000000003,16.9,-0.4,-0.1,,30 - 30,3.3,0.1,,0.7140000000000001,0.14300000000000002,0.14300000000000002,0.0,0.5,0.5,0.368,0.114,,0.171,0.28600000000000003,0.057,0.013999999999999999,,,0.157,0.2,,90.1,,84.0,95.9,90.4,84.6,,,96.6,86.0,,-2.7,,5.4,-1.1,0.4,8.2,,,-0.1,0.2,,1.8,,-5.7,8.8,6.5,4.2,,,4.2,0.3,,0.3,,0.3,0.8,-0.4,-0.1,,,0.9,1.4,,3.31,,2.21,3.99,-9.76,-5.44,,,7.81,9.65,,0.243,0.667,0.44299999999999995,0.444,0.8640000000000001,0.742,0.47100000000000003,16.9,,169,149,42,151,214,279,122.0,1.1,109.0,82.0,356.0,174.0,41.0,59.0,0.0,106.0,145.0,99.9,2.4,0,0.0,110.6,9,0.643,14,0.14300000000000002,0.257,0.373,0.634,0.463,0.4
12552,2025,Eugenio Suarez,ARI,33,2,7,8,3,0,0,0,3,4,5,0,0,1,1,0,0,0,0,0,0.429,1,4,1,0,26,11,15,0,0,0,0.0,0.125,0.0,0.5,1.714,2.214,1.286,0.0,0.0025,0.16699999999999998,0.16699999999999998,0.667,0.0,0.75,0.0,0.0,0.874,3.6,4,3.6,-1.2,0.2,0.0,2.6,0.3,$2.2,0.1,493,0.34,-0.1,0.43,3.09,0.31,1.1,,0,0.27,0.04,0.5379999999999999,94.6,0.385,84.0,0.038,87.0,,,0.038,87.0,,,,,,,0.3,0.4,1.4,,1.4,,,1.96,3.76,137.93,,137.72,,,0.267,0.727,0.462,0.5,0.875,0.75,0.423,0.75,0.115,0.0,0.423,,0.038,,,0.115,0.385,,,,0.038,,,,95.2,,87.3,,,92.6,83.9,,,,86.5,,,-1.5,,-1.2,,,-2.9,6.7,,,,9.3,,,8.5,,6.9,,,7.1,-1.0,,,,5.4,,,0.2,,1.4,,,0.1,0.4,,,,1.4,,,1.39,,137.93,,,2.81,3.76,,,,137.72,,,0.2,0.625,0.462,0.0,0.9,0.75,0.615,19.8,-1.2,0.0,,33 - 33,3.5,0.0,,0.833,0.0,0.16699999999999998,0.0,0.0,1.0,0.5,0.038,,,0.154,0.34600000000000003,,,,0.077,0.385,,86.6,,,96.1,92.7,,,,97.4,84.0,,8.7,,,-5.3,0.7,,,,-6.3,7.4,,3.7,,,8.1,6.1,,,,6.3,-2.8,,1.4,,,0.5,1.2,,,,0.0,0.4,,137.72,,,11.65,12.92,,,,-0.67,3.76,,0.2,0.625,0.462,0.0,0.9,0.75,0.615,19.8,,193,0,50,160,452,820,0.0,0.86,36.0,192.0,535.0,203.0,0.0,69.0,0.0,0.0,289.0,102.5,24.0,3,0.5,111.7,4,0.667,6,0.115,0.231,0.537,1.689,0.892,0.3
26288,2025,Adley Rutschman,BAL,27,2,7,9,3,1,0,0,2,4,3,2,0,1,0,0,0,0,0,0,0.429,1,4,1,0,43,20,23,0,0,0,0.222,0.111,2.0,0.556,1.286,1.841,0.857,0.25,0.0025,0.16699999999999998,0.16699999999999998,0.667,0.0,0.5,0.0,0.0,0.716,2.9,4,2.9,-0.3,0.3,0.1,3.0,0.3,$2.5,2.6,383,0.13,-0.06,0.18,3.06,0.32,0.55,,0,0.31,-0.08,0.605,94.5,0.11599999999999999,83.8,0.047,91.0,0.047,83.5,0.047,87.0,0.14,87.5,,,,,1.0,-0.1,0.5,0.1,1.1,0.3,,3.71,-1.11,22.84,2.94,54.46,5.77,,0.24,0.611,0.395,0.833,0.727,0.765,0.419,0.444,0.09300000000000001,0.0,0.465,,0.047,0.11599999999999999,,0.14,0.11599999999999999,0.047,,,0.07,,,,94.8,,90.9,87.5,,93.3,83.9,83.5,,,87.1,,,-5.3,,-0.7,-10.0,,-9.8,1.9,5.3,,,-8.6,,,9.6,,4.4,3.3,,6.3,2.2,-1.8,,,4.2,,,1.1,,0.5,0.4,,-0.1,-0.1,0.1,,,1.0,,,5.35,,22.84,8.21,,-1.75,-1.11,2.94,,,34.16,,,0.136,0.667,0.395,1.0,0.7140000000000001,0.765,0.488,20.7,-0.2,0.0,,27 - 27,2.9,0.0,,0.667,0.0,0.33299999999999996,0.0,0.5,0.5,0.556,0.07,,,0.37200000000000005,0.14,0.11599999999999999,,,0.14,0.163,,86.8,,,94.2,93.8,87.2,,,93.0,83.4,,-7.7,,,-5.4,0.0,-9.2,,,-9.0,4.3,,2.8,,,8.7,5.8,1.5,,,5.0,-0.4,,1.0,,,-0.3,1.8,0.4,,,-0.1,0.0,,34.16,,,-1.82,30.29,8.21,,,-1.75,0.05,,0.158,0.583,0.395,1.0,0.7140000000000001,0.765,0.5579999999999999,20.7,,186,237,48,182,324,514,95.0,1.0,39.0,166.0,350.0,153.0,0.0,143.0,0.0,109.0,127.0,91.5,24.6,2,0.33299999999999996,108.5,3,0.5,6,0.14,0.233,0.436,1.359,0.735,0.5
13152,2025,Jorge Polanco,SEA,31,2,6,7,4,3,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0.667,1,1,3,0,32,10,22,0,1,0,0.0,0.14300000000000002,0.0,0.667,1.167,1.833,0.5,0.75,0.01,0.6,0.2,0.2,0.0,1.0,0.0,0.0,0.791,2.7,3,2.7,0.2,0.2,0.0,3.1,0.3,$2.6,0.1,438,0.39,-0.08,0.47,2.02,0.23,1.61,,0,0.2,0.04,0.406,93.5,0.25,84.0,0.156,86.6,,,0.188,83.7,,,,,,,1.6,-0.3,0.4,,0.3,,,12.03,-3.55,8.27,,4.55,,,0.353,0.8,0.563,0.667,1.0,0.889,0.469,0.857,0.063,0.0,0.406,,0.094,,,,0.313,,,,0.188,,,,93.3,,90.1,,,,83.5,,,,83.5,,,-1.7,,1.6,,,,6.1,,,,0.6,,,10.7,,4.3,,,,1.2,,,,5.5,,,1.6,,0.4,,,,-0.2,,,,0.3,,,12.03,,12.06,,,,-2.33,,,,4.55,,,0.231,0.789,0.563,0.33299999999999996,1.0,0.889,0.594,19.8,0.2,0.0,,31 - 31,2.7,0.0,,0.5,0.33299999999999996,0.16699999999999998,0.16699999999999998,0.667,0.16699999999999998,0.28600000000000003,0.188,,,0.406,0.063,,,,,0.344,,84.0,,,93.9,92.3,,,,,84.3,,0.0,,,-1.8,1.8,,,,,5.6,,3.7,,,9.2,3.5,,,,,-0.2,,0.3,,,1.6,0.4,,,,,-0.3,,4.55,,,12.03,20.67,,,,,-2.59,,0.25,0.75,0.563,0.33299999999999996,1.0,0.889,0.625,19.8,,290,0,61,219,294,300,284.0,3.59,46.0,50.0,700.0,115.0,101.0,71.0,113.0,145.0,42.0,91.1,11.6,1,0.16699999999999998,104.1,2,0.33299999999999996,6,0.125,0.188,0.602,1.054,0.702,0.3
15711,2025,Tyler O'Neill,BAL,30,2,6,9,3,2,0,0,1,3,4,2,0,0,0,1,0,0,0,0,0.5,3,4,0,1,36,15,21,1,0,0,0.222,0.0,2.0,0.556,1.0,1.556,0.5,0.333,0.0075,0.0,0.429,0.5710000000000001,0.25,0.25,0.33299999999999996,0.0,0.582,1.9,3,2.0,0.3,0.3,-0.1,2.4,0.3,$2.0,2.6,291,0.22,-0.03,0.25,2.98,0.32,0.66,,0,0.18,0.15,0.444,94.8,0.222,83.8,0.027999999999999997,90.0,0.16699999999999998,84.3,,,0.139,86.8,,,,,1.5,0.0,0.1,0.7,,-0.2,,9.35,-0.05,12.65,11.64,,-3.24,,0.23800000000000002,0.5329999999999999,0.361,0.6,0.875,0.769,0.41700000000000004,0.556,0.083,-0.1,0.25,,0.055999999999999994,0.111,,0.19399999999999998,0.16699999999999998,0.19399999999999998,,,0.027999999999999997,,,,94.9,,88.4,86.7,,94.4,82.4,84.7,,,87.9,,,-4.8,,0.0,-9.8,,-10.5,4.9,6.6,,,-6.2,,,8.6,,4.1,3.0,,6.2,0.7,-1.6,,,6.9,,,0.2,,0.6,-0.2,,1.3,-0.2,0.5,,,0.0,,,2.07,,29.17,-5.19,,18.71,-3.54,6.43,,,4.56,,,0.111,0.611,0.361,0.0,0.909,0.769,0.5,18.8,0.2,0.0,,30 - 30,1.9,0.0,,0.7140000000000001,0.0,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.429,0.33299999999999996,0.055999999999999994,,,0.16699999999999998,0.139,0.083,,,0.19399999999999998,0.361,,86.3,,,95.1,91.5,86.8,,,94.1,83.3,,-5.9,,,-5.2,0.0,-9.4,,,-9.6,7.3,,0.8,,,8.0,4.8,3.0,,,4.9,-2.2,,0.0,,,-0.2,0.9,-0.2,,,1.3,0.2,,-0.31,,,-2.86,18.83,-5.19,,,18.71,1.83,,0.133,0.524,0.361,0.0,0.909,0.769,0.583,18.8,,217,237,0,182,252,300,126.0,0.0,99.0,142.0,175.0,164.0,0.0,122.0,193.0,62.0,109.0,87.8,20.3,1,0.14300000000000002,106.1,2,0.28600000000000003,7,0.222,0.306,0.361,0.821,0.49,0.2
19197,2025,Will Smith,LAD,30,4,8,13,4,3,1,0,0,3,2,5,0,1,0,0,0,0,0,0,0.5,2,2,3,1,55,25,30,1,0,0,0.385,0.077,5.0,0.692,0.625,1.317,0.125,0.571,0.01,0.429,0.28600000000000003,0.28600000000000003,0.5,0.0,0.5,0.0,0.567,2.6,4,2.7,0.0,0.4,0.2,3.3,0.3,$2.8,1.6,283,0.6,-0.08,0.68,3.54,0.38,1.05,4.88,1,0.37,0.2,0.473,94.2,0.2,84.5,0.018000000000000002,87.0,0.16399999999999998,82.7,0.036000000000000004,88.5,0.109,83.2,,,,,1.2,0.7,0.0,0.5,0.5,-0.3,,4.62,6.3,4.56,5.96,25.12,-4.4,,0.17600000000000002,0.524,0.309,0.5,0.818,0.706,0.382,0.615,0.091,-0.1,0.436,,,0.109,,0.036000000000000004,0.218,0.036000000000000004,0.127,,0.036000000000000004,,,,94.1,,,83.0,,94.4,84.8,74.1,85.0,,88.7,,,0.2,,,9.1,,-8.2,3.6,-4.6,1.3,,0.1,,,9.9,,,4.5,,8.1,2.1,-9.7,-1.0,,4.1,,,1.3,,,-0.3,,-0.1,0.7,-0.3,0.8,,0.5,,,5.49,,,-4.4,,-5.81,6.15,-12.75,11.3,,25.12,,,0.161,0.5,0.309,0.4,0.833,0.706,0.436,16.9,0.3,-0.1,,30 - 30,2.6,0.1,,0.429,0.14300000000000002,0.429,0.14300000000000002,0.7140000000000001,0.14300000000000002,0.462,0.036000000000000004,,0.16399999999999998,0.309,0.127,0.109,,,0.036000000000000004,0.218,,89.3,,82.7,95.3,91.9,83.2,,,94.7,85.0,,0.1,,0.5,-0.1,1.3,8.6,,,-7.9,4.4,,2.8,,-5.1,8.9,7.3,2.6,,,6.7,0.3,,0.5,,0.5,0.3,1.0,-0.3,,,-0.1,0.7,,25.12,,5.96,2.01,13.95,-4.4,,,-5.81,6.15,,0.161,0.5,0.309,0.4,0.833,0.706,0.436,16.9,,225,363,31,221,165,80,209.0,2.2,62.0,82.0,0.0,104.0,41.0,178.0,79.0,151.0,41.0,87.8,22.1,0,0.0,105.1,2,0.28600000000000003,7,0.23600000000000002,0.327,0.436,0.504,0.528,0.3
