IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA,botERA,botOvr CH,botStf CH,botCmd CH,botOvr CU,botStf CU,botCmd CU,botOvr FA,botStf FA,botCmd FA,botOvr SI,botStf SI,botCmd SI,botOvr SL,botStf SL,botCmd SL,botOvr KC,botStf KC,botCmd KC,botOvr FC,botStf FC,botCmd FC,botOvr FS,botStf FS,botCmd FS,botOvr,botStf,botCmd,botxRV100,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Loc+ FO,Pit+ FO
22201,2025,MacKenzie Gore,WSN,26,0,0,0.6,0.0,1,1,0,0,0,0,6.0,18,1,0,0,0,0,0,0,0,0,13,2,1,2,1,27,66,93,1,0,0,0,19.5,0.0,13.0,1.5,0.0,0.056,0.17,0.2,1.0,-1.51,2.0,0.4,0.4,0.2,1.0,0.0,0.0,0.0,4.0,6.0,,,4.0,$5.1,-1.04,-1.2,0.36,-0.04,0.4,2.95,0.31,0.86,1.09,0.87,1.73,1,0.42,0.0,0.441,95.9,0.247,86.6,0.065,90.3,0.151,82.4,0.09699999999999999,86.6,,,,,,,1.3,1.5,0.6,0.2,0.2,,,3.09,6.49,9.22,1.3,1.8,,,0.43200000000000005,0.633,0.5379999999999999,0.474,0.71,0.62,0.527,0.778,0.204,0,0,0,0,-25,-17,0.722,0.0,-0.49,1.5,1.51,0.441,,0.065,,,,0.247,0.151,,,0.09699999999999999,,,,95.8,,90.1,,,,86.5,82.4,,,86.3,,,3.4,,-0.3,,,,-0.7,-1.9,,,8.0,,,10.8,,4.7,,,,1.2,-7.0,,,6.8,,,1.3,,0.6,,,,1.6,0.2,,,0.2,,,3.09,,9.84,,,,6.91,1.3,,,1.8,,,0.405,0.647,0.5379999999999999,0.529,0.667,0.62,0.5479999999999999,19.0,0.5,0.0,-0.2,-0.2,26 - 26,0.722,0.4,0.2,0.4,0.2,0.4,0.4,-2.75,0.722,0.09699999999999999,,0.151,0.441,,,,,,0.312,,86.4,,82.4,95.9,,,,,,87.3,,8.0,,-2.2,3.0,,,,,,-1.1,,4.9,,-9.1,9.3,,,,,,-0.2,,0.2,,0.2,1.3,,,,,,2.2,,1.8,,1.3,3.09,,,,,,7.52,,0.444,0.625,0.5379999999999999,0.5,0.7,0.62,0.516,19.0,0.0,196,0,,20,0,25,13,72.0,137.0,281,0,192.0,90.0,57.0,0.0,93.0,57.0,182.0,125.0,81.0,115.0,93.5,20.2,0,0.0,112.5,3,0.6,5,0.172,0.376,0.41,1.8,53.0,42.0,55.0,47.0,58.0,50.0,65.0,62.0,60.0,,,,52.0,59.0,52.0,,,,80.0,73.0,80.0,,,,61,59,60,-1.25,89.0,115.0,96.0,126.0,123.0,121.0,142.0,128.0,173.0,,,,96.0,97.0,96.0,,,,90.0,179.0,170.0,,,,120.0,122.0,138.0,,,
17677,2025,Jeffrey Springs,ATH,32,1,0,0.4,0.0,1,1,0,0,0,0,6.0,21,3,0,0,0,1,0,0,0,0,9,5,2,4,0,28,55,83,5,0,0,0,13.5,1.5,9.0,4.5,0.0,0.15,0.67,0.273,1.0,0.33,2.5,0.364,0.455,0.182,0.0,0.0,0.0,0.0,3.1,6.0,,,3.1,$3.1,1.78,0.94,0.33,-0.15,0.48,2.58,0.29,1.13,1.07,0.87,0.33,1,0.32,-0.03,0.5,90.0,0.23199999999999998,84.3,,,,,0.268,80.0,,,,,0.012,,0.7,0.1,,,1.4,,,1.62,0.64,,,6.28,,,0.4,0.6970000000000001,0.518,0.45,0.7829999999999999,0.628,0.39799999999999996,0.524,0.193,0,0,0,0,-6,10,0.429,0.048,1.21,7.5,-0.33,0.494,,0.07200000000000001,,,,0.16899999999999998,,,,0.265,,,,89.9,,85.5,,,,83.9,,,,79.9,,,7.4,,1.5,,,,-2.2,,,,8.1,,,9.9,,4.2,,,,2.9,,,,4.5,,,0.7,,-0.1,,,,0.4,,,,1.4,,,1.62,,-1.02,,,,3.03,,,,6.28,,,0.317,0.7140000000000001,0.518,0.5379999999999999,0.667,0.628,0.506,18.7,0.4,0.0,0.1,0.1,32 - 32,0.381,0.273,0.545,0.182,0.182,0.545,0.273,1.34,0.47600000000000003,0.265,,,0.494,0.036000000000000004,,,,,0.205,,80.3,,,90.4,86.3,,,,,84.5,,7.1,,,6.2,0.7,,,,,-2.9,,2.5,,,8.4,3.6,,,,,1.4,,1.4,,,0.7,0.1,,,,,0.3,,6.28,,,1.62,1.89,,,,,1.8,,0.27,0.7170000000000001,0.518,0.5,0.667,0.628,0.5539999999999999,18.7,0.0,161,47,343.0,60,0,67,56,107.0,129.0,190,55,240.0,101.0,46.0,0.0,66.0,165.0,70.0,106.0,124.0,70.0,85.4,9.1,0,0.0,103.8,4,0.364,11,0.133,0.325,2.12,3.71,58.0,42.0,61.0,,,,48.0,36.0,53.0,,,,41.0,33.0,44.0,,,,35.0,36.0,36.0,,,,50,38,55,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16256,2025,Kyle Freeland,COL,32,0,0,0.4,0.0,1,1,0,0,0,0,6.0,20,2,0,0,0,0,0,0,0,0,7,7,4,2,1,14,53,67,2,2,0,0,10.5,0.0,7.0,3.0,0.0,0.1,0.33,0.154,1.0,0.49,1.75,0.154,0.5379999999999999,0.308,0.25,0.0,0.28600000000000003,0.0,2.7,6.0,,,2.7,$3.0,0.5,1.72,0.34,-0.1,0.45,2.71,0.3,0.98,1.09,0.87,1.48,1,0.32,0.03,0.46299999999999997,92.0,0.179,88.1,,,0.34299999999999997,85.0,0.015,87.0,,,,,,,1.9,0.2,,0.5,0.2,,,6.06,2.01,,1.96,24.85,,,0.429,0.688,0.552,0.5329999999999999,0.818,0.703,0.478,0.75,0.16399999999999998,0,0,0,0,22,52,0.35,0.0,1.38,3.0,-0.49,0.149,,,,,0.284,0.358,,0.16399999999999998,,0.045,,,,92.5,,,,,92.0,86.5,,84.9,,88.2,,,5.4,,,,,8.9,-2.5,,-0.4,,7.4,,,9.9,,,,,6.1,0.7,,-3.2,,4.4,,,1.1,,,,,0.5,0.7,,0.1,,0.6,,,11.0,,,,,2.37,2.81,,1.17,,19.53,,,0.4,0.643,0.552,0.3,0.852,0.703,0.627,17.7,0.5,0.1,-0.1,0.1,32 - 32,0.35,0.462,0.385,0.154,0.231,0.615,0.154,1.72,0.35,0.045,,0.16399999999999998,0.149,0.134,,,,0.284,0.22399999999999998,,88.3,,85.0,92.6,89.0,,,,92.1,85.3,,6.6,,-1.4,4.4,-0.5,,,,8.2,-5.6,,3.1,,-4.7,8.6,2.8,,,,4.8,-2.8,,0.6,,0.1,1.1,0.0,,,,0.5,0.6,,19.53,,1.17,11.0,0.37,,,,2.37,4.28,,0.375,0.6509999999999999,0.552,0.222,0.857,0.703,0.642,17.7,0.0,106,0,,40,0,46,25,55.0,137.0,136,0,74.0,122.0,88.0,0.0,107.0,110.0,70.0,144.0,125.0,44.0,87.6,5.4,0,0.0,109.5,6,0.462,13,0.239,0.40299999999999997,0.81,3.51,41.0,20.0,54.0,,,,65.0,47.0,70.0,56.0,43.0,59.0,47.0,47.0,48.0,33.0,57.0,36.0,,,,,,,52,44,54,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22250,2025,Logan Gilbert,SEA,28,0,0,0.3,1.29,1,1,0,0,0,0,7.0,23,2,1,1,1,0,0,0,0,0,8,7,5,3,1,23,60,83,1,0,0,0,10.29,0.0,8.0,2.57,1.29,0.087,0.29,0.071,1.0,2.4,1.4,0.2,0.467,0.33299999999999996,0.2,0.2,0.0,0.0,2.3,7.0,,,2.3,$2.1,2.57,1.85,0.19,-0.18,0.36,2.01,0.23,0.71,0.98,0.87,1.81,1,0.29,-0.02,0.289,95.7,0.337,88.1,,,0.133,83.5,,,0.24100000000000002,82.9,,,,,1.5,0.4,,0.1,,1.1,,6.15,1.47,,1.3,,5.68,,0.381,0.7559999999999999,0.5660000000000001,0.25,0.871,0.66,0.494,0.9129999999999999,0.193,0,0,0,36,50,34,0.348,0.0,1.51,1.29,-1.11,0.289,,,0.253,,,0.337,0.12,,,,,,,95.6,,,82.8,,,88.0,83.2,,,,,,-4.9,,,-1.2,,,0.4,6.8,,,,,,10.2,,,-1.0,,,1.2,-1.8,,,,,,1.5,,,1.4,,,0.4,-0.1,,,,,,6.15,,,6.61,,,1.47,-0.62,,,,,,0.33299999999999996,0.773,0.5660000000000001,0.231,0.8240000000000001,0.66,0.53,20.1,0.4,0.2,-0.1,0.1,28 - 28,0.348,0.33299999999999996,0.5329999999999999,0.133,0.133,0.5329999999999999,0.33299999999999996,1.74,0.391,,,,0.27699999999999997,,0.24100000000000002,,,0.012,0.47,,,,,96.3,,83.3,,,94.3,87.3,,,,,-4.9,,-1.6,,,-7.9,1.9,,,,,9.1,,-2.7,,,4.4,-1.3,,,,,1.5,,1.2,,,0.0,0.6,,,,,6.59,,5.8,,,-3.84,1.48,,0.4,0.721,0.5660000000000001,0.25,0.871,0.66,0.518,20.1,0.0,123,0,,34,83,39,24,28.0,129.0,154,0,132.0,104.0,83.0,128.0,81.0,161.0,52.0,78.0,122.0,85.0,93.5,10.0,1,0.067,110.7,8,0.5329999999999999,15,0.157,0.349,2.28,2.62,,,,39.0,59.0,32.0,69.0,50.0,68.0,,,,47.0,45.0,51.0,,,,,,,57.0,63.0,46.0,56,56,52,-0.7,,,,105.0,108.0,105.0,120.0,154.0,174.0,,,,80.0,141.0,125.0,,,,,,,117.0,119.0,111.0,104.0,135.0,133.0,,,
26221,2025,Ryan Pepiot,TBR,27,0,0,0.3,1.5,1,1,0,0,0,0,6.0,26,6,2,1,0,1,0,1,1,0,8,9,5,2,0,27,58,85,0,2,0,0,12.0,1.5,8.0,9.0,0.0,0.25,1.17,0.375,0.75,1.16,1.8,0.125,0.563,0.313,0.0,0.0,0.222,0.0,2.6,6.0,,,2.6,$2.4,1.34,2.69,0.01,-0.48,0.49,0.71,0.08,1.05,0.82,0.87,0.54,1,-0.01,0.02,0.38799999999999996,95.3,0.2,89.1,0.129,91.6,0.035,80.0,0.247,85.0,,,,,,,0.3,0.4,-0.3,-0.4,-0.9,,,0.89,2.1,-2.41,-12.92,-4.24,,,0.37200000000000005,0.7859999999999999,0.5760000000000001,0.5,0.758,0.6729999999999999,0.494,0.5379999999999999,0.188,0,0,0,40,16,56,0.308,0.038,2.09,0.0,0.34,0.38799999999999996,,0.106,,,,0.22399999999999998,0.035,,,0.247,,,,95.3,,91.9,,,,89.2,80.1,,,85.0,,,-5.0,,0.4,,,,3.2,7.3,,,-8.6,,,11.0,,8.2,,,,5.0,-5.6,,,0.0,,,0.3,,0.2,,,,-0.1,-0.4,,,-0.9,,,0.89,,2.16,,,,-0.54,-12.92,,,-4.24,,,0.35100000000000003,0.75,0.5760000000000001,0.462,0.75,0.6729999999999999,0.565,18.9,0.1,-0.2,0.0,-0.2,27 - 27,0.26899999999999996,0.625,0.125,0.25,0.313,0.25,0.43799999999999994,2.68,0.34600000000000003,0.247,,0.035,0.38799999999999996,0.129,,,,,0.2,,85.1,,80.2,95.5,91.7,,,,,89.2,,-8.7,,7.5,-4.9,0.8,,,,,3.6,,-1.7,,-7.4,10.0,7.0,,,,,3.5,,-0.9,,-0.4,0.3,0.3,,,,,-0.2,,-4.24,,-12.92,0.89,2.56,,,,,-1.11,,0.382,0.706,0.5760000000000001,0.462,0.75,0.6729999999999999,0.6,18.9,0.0,143,47,305.0,120,0,111,98,147.0,97.0,136,45,82.0,125.0,78.0,0.0,152.0,38.0,97.0,182.0,57.0,112.0,88.0,4.3,1,0.063,109.7,5,0.313,16,0.106,0.294,2.24,1.95,55.0,66.0,48.0,20.0,47.0,20.0,64.0,54.0,61.0,,,,64.0,45.0,69.0,,,,39.0,54.0,43.0,,,,60,59,59,-1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33677,2025,Paul Skenes,PIT,23,0,0,0.3,3.38,1,1,0,0,0,0,5.1,20,3,2,2,0,2,0,0,0,0,7,8,1,2,1,30,64,94,4,3,0,0,11.81,3.38,3.5,5.06,0.0,0.167,0.94,0.273,0.6,1.33,8.0,0.182,0.727,0.091,1.0,0.0,0.375,0.0,2.0,5.1,,,2.0,$2.0,1.64,1.67,0.11,-0.29,0.4,1.19,0.12,1.14,1.01,0.87,2.55,1,0.09,0.0,0.38299999999999995,98.1,0.085,85.3,,,,,0.106,88.4,0.426,94.0,,,,,0.2,0.7,,,0.5,0.1,,0.65,8.13,,,4.97,0.19,,0.313,0.7829999999999999,0.5429999999999999,0.6,0.778,0.725,0.489,0.7,0.149,0,0,0,79,43,51,0.35,0.1,1.91,6.75,2.05,0.38299999999999995,,,,,0.426,0.085,,,,0.106,,,,98.1,,,,,94.0,85.1,,,,88.3,,,-10.8,,,,,-9.5,2.0,,,,-12.9,,,6.6,,,,,-0.1,5.9,,,,2.3,,,-0.3,,,,,0.6,0.6,,,,0.5,,,-0.88,,,,,1.58,7.66,,,,4.97,,,0.302,0.745,0.5429999999999999,0.5379999999999999,0.789,0.725,0.5429999999999999,19.2,0.1,0.0,-0.1,-0.1,23 - 23,0.25,0.636,0.182,0.182,0.455,0.182,0.364,2.92,0.45,0.106,,,0.36200000000000004,,,,,0.447,0.085,,88.4,,,98.2,,,,,94.1,85.2,,-11.9,,,-9.6,,,,,-8.8,3.5,,0.6,,,5.6,,,,,-1.4,4.5,,0.5,,,0.5,,,,,-0.2,0.6,,4.97,,,1.4,,,,,-0.39,7.66,,0.268,0.755,0.5429999999999999,0.455,0.8,0.725,0.564,19.2,0.0,119,78,152.0,68,0,76,72,98.0,82.0,136,89,87.0,164.0,26.0,0.0,147.0,52.0,83.0,284.0,37.0,105.0,77.4,-2.9,1,0.091,112.3,2,0.182,11,0.138,0.287,1.73,3.27,45.0,44.0,48.0,,,,59.0,39.0,57.0,42.0,42.0,37.0,52.0,57.0,50.0,,,,,,,,,,53,39,50,-0.27,127.0,90.0,102.0,,,,133.0,106.0,138.0,106.0,103.0,110.0,138.0,91.0,123.0,,,,,,,,,,121.0,102.0,121.0,,,
10603,2025,Chris Sale,ATL,36,0,0,0.3,5.4,1,1,0,0,0,0,5.0,22,6,3,3,0,1,0,0,0,0,7,7,4,2,0,26,58,84,4,0,1,0,12.6,1.8,7.0,10.8,0.0,0.286,1.4,0.429,0.5710000000000001,0.63,1.75,0.154,0.5379999999999999,0.308,0.0,0.0,0.0,0.0,2.0,5.0,,,2.0,$2.1,1.24,2.1,-0.07,-0.54,0.46,-0.72,-0.08,1.39,1.07,0.93,1.58,1,-0.02,-0.03,0.345,94.2,0.41700000000000004,79.1,,,,,0.23800000000000002,86.8,,,,,,,-0.6,-0.6,,,1.1,,,-1.95,-1.57,,,5.5,,,0.434,0.774,0.56,0.652,0.833,0.745,0.369,0.727,0.14300000000000002,0,0,0,128,27,61,0.318,0.045,2.1,7.2,4.77,0.298,,,,,0.048,0.41700000000000004,,,,0.23800000000000002,,,,94.2,,,,,93.7,79.0,,,,86.7,,,10.0,,,,,13.6,-5.9,,,,10.9,,,5.3,,,,,1.8,-2.0,,,,-0.3,,,-0.9,,,,,0.3,-0.5,,,,1.1,,,-3.53,,,,,7.96,-1.34,,,,5.5,,,0.409,0.725,0.56,0.611,0.828,0.745,0.47600000000000003,20.4,0.0,-0.2,-0.1,-0.3,36 - 36,0.273,0.5,0.28600000000000003,0.214,0.214,0.429,0.35700000000000004,2.64,0.364,0.23800000000000002,,,0.298,,,,,0.048,0.41700000000000004,,86.9,,,94.6,,,,,93.4,79.3,,11.1,,,9.9,,,,,14.5,-5.2,,-1.9,,,3.9,,,,,0.8,-3.6,,1.1,,,-0.9,,,,,0.3,-0.5,,5.5,,,-3.61,,,,,8.46,-1.34,,0.43200000000000005,0.7,0.56,0.632,0.821,0.745,0.47600000000000003,20.4,0.0,127,42,305.0,145,0,130,107,154.0,78.0,124,41,74.0,122.0,88.0,0.0,116.0,82.0,97.0,134.0,87.0,103.0,90.5,10.5,1,0.071,112.0,5,0.35700000000000004,14,0.11900000000000001,0.262,2.56,2.8,51.0,40.0,56.0,,,,46.0,50.0,48.0,80.0,67.0,72.0,58.0,46.0,57.0,,,,,,,,,,55,49,57,-0.58,93.0,120.0,106.0,,,,95.0,96.0,98.0,129.0,202.0,237.0,115.0,121.0,126.0,,,,,,,,,,104.0,118.0,118.0,,,
17295,2025,Framber Valdez,HOU,31,1,0,0.2,0.0,1,1,0,0,0,0,7.0,26,4,0,0,0,2,0,1,0,0,4,9,5,5,0,34,56,90,3,0,0,0,5.14,2.57,2.0,5.14,0.0,0.174,0.86,0.211,1.0,2.97,1.8,0.263,0.474,0.263,0.0,0.0,0.0,0.0,1.7,7.0,,,1.7,$1.5,4.47,4.28,0.33,-0.23,0.56,3.34,0.35,1.03,0.91,0.87,0.84,1,0.21,0.11,0.5,94.9,,,0.033,84.7,0.344,80.3,0.122,89.5,,,,,,,1.0,,0.1,0.9,0.0,,,2.18,,2.73,2.79,0.17,,,0.28300000000000003,0.73,0.467,0.467,0.889,0.738,0.41100000000000003,0.5379999999999999,0.122,0,0,0,0,63,97,0.154,0.077,4.18,3.86,-2.97,,,,,,0.5,0.033,0.344,,,0.122,,,,,,,,,94.8,84.7,80.4,,,89.7,,,,,,,,10.2,-1.8,-6.9,,,9.1,,,,,,,,4.3,-0.7,-8.3,,,0.0,,,,,,,,1.1,0.1,0.9,,,0.0,,,,,,,,2.34,2.73,2.79,,,0.17,,,0.27699999999999997,0.674,0.467,0.308,0.9309999999999999,0.738,0.478,20.8,0.5,0.1,0.3,0.4,31 - 31,0.077,0.42100000000000004,0.316,0.263,0.158,0.42100000000000004,0.42100000000000004,4.99,0.231,0.122,,0.344,,,,,,0.5,0.033,,89.9,,80.6,,,,,,95.1,85.0,,9.2,,-7.4,,,,,,10.1,-2.1,,-1.7,,-10.2,,,,,,2.7,-2.1,,0.0,,0.9,,,,,,1.1,0.1,,0.17,,2.79,,,,,,2.34,2.73,,0.32,0.65,0.467,0.375,0.9620000000000001,0.738,0.444,20.8,0.0,61,81,76.0,68,0,77,72,83.0,129.0,68,89,174.0,105.0,66.0,0.0,102.0,96.0,102.0,92.0,96.0,108.0,87.1,9.3,1,0.053,110.4,7,0.368,19,0.156,0.278,3.61,3.02,39.0,47.0,37.0,61.0,71.0,52.0,,,,55.0,52.0,58.0,54.0,46.0,55.0,,,,,,,,,,54,60,53,-0.44,91.0,101.0,91.0,91.0,131.0,133.0,,,,92.0,107.0,102.0,111.0,107.0,112.0,,,,,,,,,,92.0,115.0,111.0,,,
29878,2025,Sean Burke,CHW,25,1,0,0.2,0.0,1,1,0,0,0,0,6.0,22,3,0,0,0,0,0,1,0,0,3,7,10,1,0,24,49,73,3,0,0,0,4.5,0.0,3.0,4.5,0.0,0.143,0.5,0.167,1.0,2.33,0.7,0.055999999999999994,0.389,0.556,0.0,0.0,0.0,0.0,1.9,6.0,,,1.9,$1.7,1.42,5.39,0.28,-0.14,0.42,2.98,0.31,0.95,0.89,0.87,0.91,1,0.3,0.0,0.397,94.2,0.384,85.7,,,0.192,77.9,0.027000000000000003,85.0,,,,,,,-0.4,2.5,,-0.3,0.4,,,-1.54,9.05,,-2.39,18.34,,,0.375,0.606,0.479,0.8,0.75,0.7709999999999999,0.452,0.682,0.11,0,0,0,0,45,126,0.136,0.0,4.24,4.5,-2.33,0.37,,,,,0.027000000000000003,0.384,0.192,,,0.027000000000000003,,,,94.2,,,,,93.3,85.6,77.8,,,84.9,,,-1.7,,,,,-6.2,2.8,3.6,,,-6.6,,,11.0,,,,,9.8,1.7,-9.2,,,6.7,,,-0.7,,,,,0.3,2.6,-0.3,,,0.4,,,-2.55,,,,,13.88,9.19,-2.39,,,18.34,,,0.273,0.65,0.479,0.778,0.769,0.7709999999999999,0.5479999999999999,17.7,0.4,0.1,0.1,0.2,25 - 25,0.136,0.444,0.444,0.111,0.33299999999999996,0.33299999999999996,0.33299999999999996,4.28,0.136,0.027000000000000003,,0.192,0.35600000000000004,,,,,0.040999999999999995,0.384,,85.4,,78.3,94.7,,,,,93.9,86.0,,-7.6,,2.6,-2.0,,,,,-6.3,2.3,,5.4,,-10.9,9.8,,,,,8.2,0.2,,0.4,,-0.3,-0.7,,,,,0.3,2.6,,18.34,,-2.39,-2.81,,,,,10.7,9.19,,0.24100000000000002,0.636,0.479,0.857,0.75,0.7709999999999999,0.603,17.7,0.0,54,0,,60,0,63,42,66.0,129.0,60,0,37.0,87.0,139.0,0.0,108.0,135.0,43.0,195.0,76.0,85.0,80.9,9.4,3,0.16699999999999998,109.1,4,0.222,18,0.192,0.301,7.0,3.09,51.0,40.0,53.0,73.0,45.0,75.0,49.0,50.0,50.0,30.0,29.0,34.0,52.0,46.0,56.0,,,,,,,,,,54,44,57,-0.39,88.0,117.0,93.0,77.0,168.0,145.0,135.0,105.0,147.0,103.0,45.0,51.0,88.0,116.0,101.0,,,,,,,,,,103.0,120.0,125.0,,,
17594,2025,Mitch Keller,PIT,29,1,0,0.2,1.5,1,1,0,0,0,0,6.0,23,5,1,1,0,1,0,0,0,0,4,7,3,8,0,28,58,86,4,1,0,0,6.0,1.5,4.0,7.5,0.0,0.227,1.0,0.278,0.833,1.99,2.33,0.444,0.389,0.16699999999999998,0.0,0.0,0.14300000000000002,0.0,1.5,6.0,,,1.5,$1.5,5.99,2.91,0.26,-0.22,0.48,2.13,0.21,0.88,0.96,0.87,1.1,1,0.16,0.13,0.488,93.1,0.151,81.3,0.18600000000000003,86.8,0.047,76.5,0.128,87.9,,,,,,,2.1,-0.1,0.3,-0.2,-0.4,,,5.05,-0.66,2.05,-3.84,-3.32,,,0.317,0.622,0.47700000000000004,0.615,0.929,0.8290000000000001,0.523,0.478,0.081,0,0,0,35,59,81,0.174,0.043,3.49,6.0,-0.49,0.395,,,,,0.09300000000000001,0.337,0.047,,,0.128,,,,93.2,,,,,92.4,84.2,76.5,,,87.9,,,-6.6,,,,,-10.9,5.9,6.9,,,-9.1,,,10.2,,,,,6.5,1.8,-7.8,,,0.2,,,1.8,,,,,0.4,0.2,-0.2,,,-0.4,,,5.26,,,,,5.22,0.84,-3.84,,,-3.32,,,0.25,0.611,0.47700000000000004,0.5,0.909,0.8290000000000001,0.628,18.3,0.3,0.0,0.1,0.1,29 - 29,0.13,0.278,0.444,0.278,0.111,0.667,0.222,4.35,0.217,0.128,,0.047,0.395,,,,,0.09300000000000001,0.337,,88.0,,76.6,93.3,,,,,92.6,84.3,,-8.5,,8.0,-5.7,,,,,-10.2,7.0,,-1.2,,-10.0,8.8,,,,,5.1,0.2,,-0.4,,-0.2,1.8,,,,,0.4,0.2,,-3.32,,-3.84,5.26,,,,,5.22,0.84,,0.226,0.618,0.47700000000000004,0.429,0.912,0.8290000000000001,0.64,18.3,0.0,60,35,174.0,101,0,103,76,100.0,114.0,68,39,213.0,88.0,48.0,0.0,64.0,128.0,126.0,69.0,135.0,64.0,89.7,4.3,0,0.0,106.5,7,0.389,18,0.198,0.27899999999999997,4.03,2.91,36.0,50.0,37.0,30.0,43.0,34.0,59.0,43.0,63.0,60.0,49.0,58.0,53.0,52.0,54.0,,,,,,,,,,55,48,58,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
