game_date,batter,pitcher,events,description,launch_speed,launch_angle,home_team,away_team,p_throws,stand,pitch_type,release_speed,effective_speed
2025-03-28,670224,680767,home_run,hit_into_play,108.1,22,TB,COL,R,L,FF,97.4,97.5
2025-03-28,686668,664126,strikeout,swinging_strike,,,TB,COL,R,R,FF,95.8,97.2
2025-03-28,686668,664126,,foul,94.5,-16,TB,COL,R,R,SL,82.6,83.2
2025-03-28,686668,664126,,blocked_ball,,,TB,COL,R,R,SL,84.5,85.7
2025-03-28,686668,664126,,ball,,,TB,COL,R,R,FF,96.9,97.8
2025-03-28,686668,664126,,swinging_strike,,,TB,COL,R,R,SL,84.8,85.9
2025-03-28,686668,664126,,called_strike,,,TB,COL,R,R,SL,86.0,87.5
2025-03-28,686668,664126,,ball,,,TB,COL,R,R,FF,96.3,97.9
2025-03-28,687597,664126,walk,ball,,,TB,COL,R,R,SL,85.0,85.6
2025-03-28,687597,664126,,ball,,,TB,COL,R,R,FF,96.8,97.7
2025-03-28,687597,664126,,ball,,,TB,COL,R,R,CH,93.6,94.5
2025-03-28,687597,664126,,ball,,,TB,COL,R,R,SL,85.1,85.6
2025-03-28,687597,664126,,foul,,,TB,COL,R,R,FF,97.3,98.3
2025-03-28,687597,664126,,swinging_strike,,,TB,COL,R,R,FF,96.4,96.1
2025-03-28,687597,664126,,called_strike,,,TB,COL,R,R,FF,97.6,98.5
2025-03-28,571657,664126,strikeout,swinging_strike_blocked,,,TB,COL,R,R,SL,83.3,84.0
2025-03-28,571657,664126,,ball,,,TB,COL,R,R,CH,94.0,95.0
2025-03-28,571657,664126,,foul,75.8,55,TB,COL,R,R,SL,83.5,84.6
2025-03-28,571657,664126,,foul,89.8,22,TB,COL,R,R,FF,97.0,98.3
2025-03-28,571657,664126,,called_strike,,,TB,COL,R,R,FF,97.7,98.9
2025-03-28,571657,664126,,blocked_ball,,,TB,COL,R,R,SL,84.8,86.0
2025-03-28,605361,664126,walk,blocked_ball,,,TB,COL,R,L,FF,97.8,97.8
2025-03-28,605361,664126,,foul,87.9,72,TB,COL,R,L,FF,95.6,95.9
2025-03-28,605361,664126,,called_strike,,,TB,COL,R,L,FF,96.6,97.4
2025-03-28,605361,664126,,ball,,,TB,COL,R,L,FF,96.4,97.8
2025-03-28,605361,664126,,ball,,,TB,COL,R,L,SL,85.0,85.8
2025-03-28,605361,664126,,ball,,,TB,COL,R,L,FF,96.4,97.0
2025-03-28,691406,680767,strikeout,swinging_strike,,,TB,COL,R,R,FF,98.1,98.5
2025-03-28,691406,680767,,foul,92.8,45,TB,COL,R,R,SL,85.6,87.2
2025-03-28,691406,680767,,called_strike,,,TB,COL,R,R,SL,86.2,88.0
2025-03-28,691406,680767,,foul,80.3,16,TB,COL,R,R,FF,97.4,98.5
2025-03-28,664040,680767,field_out,hit_into_play,98.1,-2,TB,COL,R,L,CH,91.2,91.7
2025-03-28,664040,680767,,ball,,,TB,COL,R,L,FF,97.6,98.1
2025-03-28,664040,680767,,ball,,,TB,COL,R,L,CH,90.4,90.9
2025-03-28,664040,680767,,swinging_strike,,,TB,COL,R,L,CH,89.5,90.3
2025-03-28,650490,680767,field_out,hit_into_play,95.9,21,TB,COL,R,R,FF,96.1,97.2
2025-03-28,650490,680767,,ball,,,TB,COL,R,R,FF,97.1,97.9
2025-03-28,650490,680767,,ball,,,TB,COL,R,R,FF,96.8,98.4
2025-03-28,696100,682254,field_out,hit_into_play,106.0,25,TB,COL,L,R,FF,100.6,102.1
2025-03-28,696100,682254,,foul,72.5,48,TB,COL,L,R,SL,90.0,90.8
2025-03-28,696100,682254,,foul,88.0,54,TB,COL,L,R,FF,99.6,100.7
2025-03-28,696100,682254,,foul,,,TB,COL,L,R,SL,90.1,92.0
2025-03-28,669911,682254,strikeout,swinging_strike,,,TB,COL,L,R,FF,99.7,100.9
2025-03-28,669911,682254,,swinging_strike,,,TB,COL,L,R,FF,99.2,100.7
2025-03-28,669911,682254,,swinging_strike,,,TB,COL,L,R,FF,99.1,100.1
2025-03-28,669911,682254,,ball,,,TB,COL,L,R,FF,98.6,99.7
2025-03-28,592178,682254,field_out,hit_into_play,87.3,26,TB,COL,L,R,FF,99.7,101.0
2025-03-28,592178,682254,,foul,74.4,43,TB,COL,L,R,SL,87.7,88.8
2025-03-28,592178,682254,,swinging_strike,,,TB,COL,L,R,SL,90.5,92.2
2025-03-28,641857,682254,single,hit_into_play,53.3,-52,TB,COL,L,L,FF,98.4,99.1
2025-03-28,678554,683409,force_out,hit_into_play,111.0,2,TB,COL,R,R,FF,96.4,97.0
2025-03-28,678554,683409,,blocked_ball,,,TB,COL,R,R,FF,97.7,98.8
2025-03-28,678554,683409,,ball,,,TB,COL,R,R,CH,90.5,91.4
2025-03-28,678554,683409,,foul,,,TB,COL,R,R,SL,91.4,92.3
2025-03-28,678554,683409,,ball,,,TB,COL,R,R,SL,91.1,91.9
2025-03-28,670764,683409,strikeout,swinging_strike,,,TB,COL,R,L,FF,97.4,97.8
2025-03-28,670764,683409,,foul,98.9,11,TB,COL,R,L,CH,89.0,88.9
2025-03-28,670764,683409,,foul,,,TB,COL,R,L,FF,97.5,97.7
2025-03-28,670764,683409,,called_strike,,,TB,COL,R,L,FF,97.4,98.1
2025-03-28,670764,683409,,blocked_ball,,,TB,COL,R,L,CH,90.2,91.3
2025-03-28,670764,683409,,ball,,,TB,COL,R,L,FF,98.1,98.5
2025-03-28,676356,683409,single,hit_into_play,94.0,6,TB,COL,R,R,CH,89.4,89.8
2025-03-28,676356,683409,,called_strike,,,TB,COL,R,R,FF,97.2,97.5
2025-03-28,676356,683409,,swinging_strike,,,TB,COL,R,R,FF,97.1,97.6
2025-03-28,676609,641755,single,hit_into_play,70.2,23,TB,COL,R,R,SL,87.0,86.4
2025-03-28,676609,641755,,foul_bunt,,,TB,COL,R,R,SL,87.1,86.8
2025-03-28,643376,641755,walk,ball,,,TB,COL,R,R,FF,94.2,93.3
2025-03-28,643376,641755,,ball,,,TB,COL,R,R,SL,84.7,84.2
2025-03-28,643376,641755,,blocked_ball,,,TB,COL,R,R,SL,87.0,86.7
